Postcode,Borough,Neighbourhood,Latitude,Longitude
M3A,North York,Parkwoods,43.7532586,-79.3296565
M4A,North York,Victoria Village,43.725882299999995,-79.31557159999998
M5A,Downtown Toronto,Harbourfront,43.6542599,-79.3606359
M6A,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999
M7A,Downtown Toronto,Queen's Park,43.6623015,-79.3894938
M9A,Queen's Park,Queen's Park,43.6678556,-79.53224240000002
M1B,Scarborough,"Malvern, Rouge",43.806686299999996,-79.19435340000001
M3B,North York,Don Mills North,43.745905799999996,-79.352188
M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937
M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.37893709999999
M6B,North York,Glencairn,43.709577,-79.44507259999999
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001
M1C,Scarborough,"Port Union, Rouge Hill, Highland Creek",43.7845351,-79.16049709999999
M3C,North York,"Don Mills South, Flemingdon Park",43.72589970000001,-79.340923
M4C,East York,Woodbine Heights,43.695343900000005,-79.3183887
M5C,Downtown Toronto,St. James Town,43.6514939,-79.3754179
M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002
M9C,Etobicoke,"Old Burnhamthorpe, Markland Wood, Eringate, Bloordale Gardens",43.6435152,-79.57720079999999
M1E,Scarborough,"West Hill, Morningside, Guildwood",43.7635726,-79.1887115
M4E,East Toronto,The Beaches,43.67635739999999,-79.2930312
M5E,Downtown Toronto,Berczy Park,43.644770799999996,-79.3733064
M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512
M1G,Scarborough,Woburn,43.7709921,-79.21691740000001
M4G,East York,Leaside,43.7090604,-79.3634517
M5G,Downtown Toronto,Central Bay Street,43.6579524,-79.3873826
M6G,Downtown Toronto,Christie,43.669542,-79.4225637
M1H,Scarborough,Cedarbrae,43.773136,-79.23947609999999
M2H,North York,Hillcrest Village,43.8037622,-79.3634517
M3H,North York,"Wilson Heights, Downsview North, Bathurst Manor",43.7543283,-79.4422593
M4H,East York,Thorncliffe Park,43.7053689,-79.34937190000001
M5H,Downtown Toronto,"Richmond, King, Adelaide",43.65057120000001,-79.3845675
M6H,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593
M1J,Scarborough,Scarborough Village,43.7447342,-79.23947609999999
M2J,North York,"Oriole, Henry Farm, Fairview",43.7785175,-79.3465557
M3J,North York,"York University, Northwood Park",43.7679803,-79.48726190000001
M4J,East York,East Toronto,43.685347,-79.3381065
M5J,Downtown Toronto,"Union Station, Toronto Islands, Harbourfront East",43.6408157,-79.38175229999999
M6J,West Toronto,"Trinity, Little Portugal",43.647926700000006,-79.4197497
M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002
M2K,North York,Bayview Village,43.7869473,-79.385975
M3K,North York,"Downsview East, CFB Toronto",43.737473200000004,-79.46476329999999
M4K,East Toronto,"Riverdale, The Danforth West",43.6795571,-79.352188
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001
M6K,West Toronto,"Parkdale Village, Exhibition Place, Brockton",43.6368472,-79.42819140000002
M1L,Scarborough,"Oakridge, Golden Mile, Clairlea",43.711111700000004,-79.2845772
M2L,North York,"York Mills, Silver Hills",43.7574902,-79.37471409999999
M3L,North York,Downsview West,43.7390146,-79.5069436
M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998
M5L,Downtown Toronto,"Victoria Hotel, Commerce Court",43.6481985,-79.37981690000001
M6L,North York,"Upwood Park, North Park, Downsview",43.713756200000006,-79.4900738
M9L,North York,Humber Summit,43.7563033,-79.56596329999999
M1M,Scarborough,"Scarborough Village West, Cliffside, Cliffcrest",43.716316,-79.23947609999999
M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999999
M3M,North York,Downsview Central,43.7284964,-79.49569740000001
M4M,East Toronto,Studio District,43.6595255,-79.340923
M5M,North York,"Lawrence Manor East, Bedford Park",43.7332825,-79.4197497
M6M,York,"Silverthorn, Mount Dennis, Keelesdale, Del Ray",43.6911158,-79.47601329999999
M9M,North York,"Humberlea, Emery",43.7247659,-79.53224240000002
M1N,Scarborough,"Cliffside West, Birch Cliff",43.692657000000004,-79.2648481
M2N,North York,Willowdale South,43.7701199,-79.40849279999999
M3N,North York,Downsview Northwest,43.7616313,-79.52099940000001
M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901
M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999
M6N,York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000001
M9N,York,Weston,43.706876,-79.51818840000001
M1P,Scarborough,"Wexford Heights, Scarborough Town Centre, Dorset Park",43.7574096,-79.27330400000001
M2P,North York,York Mills West,43.752758299999996,-79.4000493
M4P,Central Toronto,Davisville North,43.7127511,-79.3901975
M5P,Central Toronto,"Forest Hill West, Forest Hill North",43.6969476,-79.41130720000001
M6P,West Toronto,"The Junction South, High Park",43.6616083,-79.46476329999999
M9P,Etobicoke,Westmount,43.696319,-79.53224240000002
M1R,Scarborough,"Wexford, Maryvale",43.750071500000004,-79.2958491
M2R,North York,Willowdale West,43.7827364,-79.4422593
M4R,Central Toronto,North Toronto West,43.7153834,-79.40567840000001
M5R,Central Toronto,"Yorkville, North Midtown, The Annex",43.6727097,-79.40567840000001
M6R,West Toronto,"Roncesvalles, Parkdale",43.6489597,-79.456325
M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
M9R,Etobicoke,"St. Phillips, Richview Gardens, Martin Grove Gardens, Kingsview Village",43.6889054,-79.55472440000001
M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002
M4S,Central Toronto,Davisville,43.7043244,-79.3887901
M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493
M6S,West Toronto,"Swansea, Runnymede",43.6515706,-79.4844499
M1T,Scarborough,"Tam O'Shanter, Sullivan, Clarks Corners",43.7816375,-79.3043021
M4T,Central Toronto,"Summerhill East, Moore Park",43.6895743,-79.38315990000001
M5T,Downtown Toronto,"Kensington Market, Grange Park, Chinatown",43.6532057,-79.4000493
M1V,Scarborough,"Steeles East, Milliken, L'Amoreaux East, Agincourt North",43.8152522,-79.2845772
M4V,Central Toronto,"Summerhill West, South Hill, Rathnelly, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493
M5V,Downtown Toronto,"South Niagara, Railway Lands, King and Spadina, Harbourfront West, Island airport, Bathurst Quay, CN Tower",43.6289467,-79.3944199
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.50132070000001
M9V,Etobicoke,"Thistletown, South Steeles, Silverstone, Mount Olive, Jamestown, Humbergate, Beaumond Heights, Albion Gardens",43.739416399999996,-79.5884369
M1W,Scarborough,L'Amoreaux West,43.799525200000005,-79.3183887
M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001
M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.6464352,-79.37484599999999
M8W,Etobicoke,"Long Branch, Alderwood",43.60241370000001,-79.54348409999999
M9W,Etobicoke,Northwest,43.706748299999994,-79.5940544
M1X,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753
M5X,Downtown Toronto,"Underground city, First Canadian Place",43.6484292,-79.3822802
M8X,Etobicoke,"Old Mill North, Montgomery Road, The Kingsway",43.653653600000005,-79.5069436
M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.6627439,-79.321558
M8Y,Etobicoke,"Sunnylea, Royal York South East, The Queensway East, Old Mill South, Mimico NE, Kingsway Park South East, King's Mill Park, Humber Bay",43.6362579,-79.49850909999999
M8Z,Etobicoke,"South of Bloor, Royal York South West, The Queensway West, Mimico NW, Kingsway Park South West",43.6288408,-79.52099940000001
